gameId,playId,nflId,displayName,frameId,frameType,time,jerseyNumber,club,playDirection,x,y,s,a,dis,o,dir,event
2022091107,868,37145.0,Justin Houston,208,AFTER_SNAP,2022-09-11 17:42:34.9,50.0,BAL,left,88.5,26.61,3.33,0.86,0.33,335.09,335.78,first_contact
2022091109,251,53592.0,Darrick Forrest,141,AFTER_SNAP,2022-09-11 17:10:35.7,22.0,WAS,left,8.8,24.5,4.61,0.87,0.46,154.21,168.46,
2022091113,3211,46185.0,Dorance Armstrong,28,BEFORE_SNAP,2022-09-12 02:52:19,92.0,DAL,left,73.03,24.58,0.59,0.78,0.06,76.03,119.82,
2022091106,974,53471.0,Liam Eichenberg,171,AFTER_SNAP,2022-09-11 17:41:59,74.0,MIA,right,40.35,26.12,1.26,1.26,0.14,66.14,87.04,
2022091110,3449,53591.0,Noah Gray,81,AFTER_SNAP,2022-09-11 23:00:18.4,83.0,KC,left,31.26,16.5,2.8,0.52,0.28,213.16,200.55,
2022091108,947,54508.0,Wan'Dale Robinson,54,BEFORE_SNAP,2022-09-11 21:10:39.5,17.0,NYG,left,87.47,31.18,0.17,0.69,0.01,177.03,269.62,
2022091109,3229,42488.0,Bobby McCain,118,BEFORE_SNAP,2022-09-11 19:32:04.5,20.0,WAS,right,79.45,35.0,0.13,0.12,0.04,248.59,78.16,
2022091104,4292,52980.0,Juju Hughes,77,BEFORE_SNAP,2022-09-11 20:10:16.8,33.0,DET,right,41.96,23.9,0.28,0.53,0.03,288.47,24.5,
2022091200,2750,43537.0,Austin Blythe,98,AFTER_SNAP,2022-09-13 02:18:59.3,63.0,SEA,left,88.45,23.13,1.53,0.56,0.16,343.21,344.68,
2022091103,2125,47924.0,Zach Gentry,57,BEFORE_SNAP,2022-09-11 18:47:39.3,81.0,PIT,right,18.39,25.17,0.17,0.67,0.01,147.69,82.6,
2022091101,708,53437.0,Jaycee Horn,186,AFTER_SNAP,2022-09-11 17:29:55.6,8.0,CAR,left,45.74,16.11,4.1,0.44,0.41,355.7,229.25,
2022091101,2320,44841.0,David Njoku,108,BEFORE_SNAP,2022-09-11 18:57:00.2,85.0,CLE,right,34.91,28.63,0.0,0.01,0.04,273.64,194.75,
2022091102,3119,,football,63,BEFORE_SNAP,2022-09-11 19:20:58.6,,football,left,36.0800018310547,29.6900005340576,0.0,0.0,0.0,,,
2022091110,1290,49410.0,Jalen Thompson,124,BEFORE_SNAP,2022-09-11 21:12:44.1,34.0,ARI,right,109.75,19.65,0.13,0.84,0.01,293.35,204.59,
2022091109,1997,44846.0,Cam Robinson,39,BEFORE_SNAP,2022-09-11 18:27:55.1,74.0,JAX,right,84.66,26.67,0.53,0.45,0.05,87.86,140.97,
2022091200,1344,47824.0,Dalton Risner,160,BEFORE_SNAP,2022-09-13 01:10:56.2,66.0,DEN,right,41.75,25.32,0.18,0.17,0.02,88.74,334.53,
